drift,attack,eta,p_qber_only,p_finite_key_margin,p_uvif_no_resource,p_full_uvif,qber_obs_mean,finite_key_margin_mean,uvif_score_no_resource_mean,uvif_score_full_mean,resource_force_mean
0.005,0.15,0.164,0.0,0.0,0.0,0.0,0.1857767441860465,-0.4181459211002596,0.10047584408636742,0.09965102874381655,0.0166571355506977
0.005,0.15,0.1675,0.0,0.0,0.0,0.0,0.19024806201550387,-0.4370604166744746,0.09551875519737077,0.09473029858998411,0.0166571355506977
0.005,0.15,0.171,0.0,0.0,0.0,0.0,0.1938315245478036,-0.45187559006557726,0.09177001943001702,0.09100943177414726,0.0166571355506977
0.005,0.15,0.17450000000000002,0.0,0.0,0.0,0.0,0.19711007751937984,-0.46527038905423934,0.0884522795714744,0.08771651877946382,0.0166571355506977
0.005,0.15,0.17800000000000002,0.0,0.0,0.0,0.0,0.19972093023255813,-0.47577830012738387,0.0859073293934712,0.08519076433896594,0.0166571355506977
0.005,0.15,0.18150000000000002,0.0,0.0,0.0,0.0,0.204671834625323,-0.4953697721349053,0.08129886103857917,0.08061735517112174,0.0166571355506977
0.005,0.15,0.18500000000000003,0.0,0.0,0.0,0.0,0.20800826873385014,-0.5083408537095271,0.07833534146569489,0.07767656963718181,0.0166571355506977
0.005,0.15,0.1885,0.0,0.0,0.0,0.0,0.21121447028423773,-0.5206761837580349,0.07556903684328112,0.07493159499900727,0.0166571355506977
0.005,0.15,0.192,0.0,0.0,0.0,0.0,0.21416640826873384,-0.5317540407314918,0.07316820856952425,0.07254947420838996,0.0166571355506977
0.005,0.15,0.1955,0.0,0.0,0.0,0.0,0.21813850129198964,-0.5465221819018271,0.07002189528452657,0.06942776739422606,0.0166571355506977
0.005,0.15,0.199,0.0,0.0,0.0,0.0,0.2213736434108527,-0.5583750366936036,0.06755946897240818,0.06698471052064428,0.0166571355506977
